City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,karratha,-20.7377,116.8463,31.14,33,21,4.2,AU,1700749544
84,dudinka,69.4058,86.1778,-29.03,99,34,2.99,RU,1700749544
85,coquimbo,-29.9533,-71.3436,16.85,77,40,7.2,CL,1700749504
86,bhimunipatnam,17.8833,83.4333,26.73,75,24,3.36,IN,1700749544
87,qamdo,31.1667,97.2333,-5.78,20,0,0.72,CN,1700749544
88,kingston,17.997,-76.7936,32.53,68,40,1.54,JM,1700749157
89,papatowai,-46.5619,169.4708,7.74,87,94,8.96,NZ,1700749544
90,port elizabeth,-33.918,25.5701,24.06,69,0,5.14,ZA,1700749385
91,camayenne,9.535,-13.6878,31.05,74,40,4.12,GN,1700749545
92,hadibu,12.65,54.0333,26.73,66,75,5.45,YE,1700749545
93,kirakira,-10.4544,161.9205,25.6,88,99,2.75,SB,1700749545
94,olonkinbyen,70.9221,-8.7187,-6.58,92,100,17.41,SJ,1700749545
95,hermanus,-34.4187,19.2345,19.64,74,19,4.56,ZA,1700749254
96,praia da vitoria,38.7333,-27.0667,20.42,83,40,4.33,PT,1700749545
97,katsuren-haebaru,26.3369,127.8719,23.01,68,40,3.6,JP,1700749545
98,quellon,-43.1167,-73.6167,12.07,75,14,3.19,CL,1700749545
99,wucheng,29.6008,118.175,10.66,75,1,2.17,CN,1700749546
100,lebu,-37.6167,-73.65,14.23,65,0,8.7,CL,1700749546
101,fortuna,40.5982,-124.1573,9.96,97,75,5.14,US,1700749546
102,dakoutun,39.5833,117.2289,-3.31,24,0,4.39,CN,1700749546
103,okhotsk,59.3833,143.3,-17.17,93,99,5.82,RU,1700749546
104,bafoulabe,13.8065,-10.8321,36.4,7,100,1.77,ML,1700749546
105,lycksele,64.5954,18.6735,-8.07,100,100,1.54,SE,1700749342
106,sodra sandby,56.5667,16.6167,8.92,79,51,12.38,SE,1700749546
107,tres arroyos,-38.3739,-60.2798,23.91,16,0,5.54,AR,1700749546
108,ixtapa,20.7,-105.2,21.79,94,0,2.57,MX,1700749546
109,st. john's,47.5649,-52.7093,1.27,80,75,2.57,CA,1700749546
110,afif,23.9065,42.9172,25.22,39,7,5.49,SA,1700749547
111,remire-montjoly,4.9167,-52.2667,31.02,70,75,5.14,GF,1700749547
112,iskateley,67.6803,53.1512,-14.99,98,100,0.89,RU,1700749547
113,robore,-18.3333,-59.75,32.05,55,40,7.72,BO,1700749547
114,firmat,-33.4594,-61.4832,25.51,46,100,2.3,AR,1700749314
115,hanko,59.8333,22.95,5.47,79,93,7.6,FI,1700749547
116,avarua,-21.2078,-159.775,23.03,83,100,2.57,CK,1700749547
117,hamilton,39.1834,-84.5333,5.15,86,0,2.06,US,1700749547
